"","C1D01 log2fc","C1D08 log2fc","C1D15 log2fc","C1D22 log2fc","C2D01 log2fc","C2D08 log2fc","C2D15 log2fc","C3D01 log2fc","C4D01 log2fc","FUW04 log2fc","FUW12 log2fc","C1D01 p.value","C1D08 p.value","C1D15 p.value","C1D22 p.value","C2D01 p.value","C2D08 p.value","C2D15 p.value","C3D01 p.value","C4D01 p.value","FUW04 p.value","FUW12 p.value","C1D01 BH.FDR","C1D08 BH.FDR","C1D15 BH.FDR","C1D22 BH.FDR","C2D01 BH.FDR","C2D08 BH.FDR","C2D15 BH.FDR","C3D01 BH.FDR","C4D01 BH.FDR","FUW04 BH.FDR","FUW12 BH.FDR"
"CD1D",1.63042059503683,2.12623416418807,1.16515911487515,0.43794675009076,0.986319199944737,2.0814080766984,0.939329233904165,-0.729279553612344,-0.450041313487678,-0.242431867522078,-0.551243896837378,8.967932768349e-06,1.32127536191274e-05,6.53901504062559e-05,0.0903504959677118,0.0363487904325803,4.15137150398081e-05,0.0132095480263001,0.0624935826444381,0.0570075878482291,0.371928617809925,0.0831730476157013,0.000298579408640325,0.000167064692847213,0.00284698654845699,0.482883270041671,0.0840412037312677,0.000635047640879226,0.0666043469247658,0.936246853326614,0.661874343575451,0.776795563396374,0.428468552193823
"TFRC",0.0313699173825517,-0.221053766110263,0.523303926656811,0.130543685592419,0.173664630139948,-0.223651791118935,0.696368949143058,-0.0885362164340711,0.12372169603526,-0.131357381601505,-0.0742971971369071,0.836095144023546,0.117711738280901,0.0151261042944119,0.367107295916476,0.212144560009489,0.231485822470972,0.0155484678610498,0.704256094321463,0.540645668841244,0.517903532119706,0.522850691442766,0.866721339775324,0.160929574557947,0.046529212123028,0.682644668983716,0.318896559861915,0.304699943066442,0.0733369400779514,0.971150144921145,0.889489914668454,0.837523997656438,0.808856989372279
"FPR2",0.628158146666812,0.542511366309024,1.2816696369994,0.485014057191337,0.224309383034336,0.72938275437815,1.26891708984947,0.641955004046998,0.433034400517217,0.702485065950039,0.351251642849673,0.0182240259705294,0.209215079938863,0.0027558338395567,0.432384364966807,0.365034671936851,0.124348540369723,0.011145083420599,0.174729116866065,0.365448851892245,0.10360626658285,0.376532955428157,0.0442695223146765,0.265506132837211,0.0169543690564032,0.725768107508264,0.476059042203358,0.182334906345241,0.0613889969108633,0.936246853326614,0.81858849729906,0.559439044710147,0.729854975247728
"CD24",1.23716153883942,1.64059051740757,1.67903414093682,1.16629760908861,0.962396533527141,1.54492524246542,1.5547423927606,-0.291983894101003,-0.101085129910041,0.607236640803719,0.305225434388053,4.94855743122366e-07,0.00127309821577153,0.000189913396123545,0.0281491128543836,0.0456056098712372,0.00137476226596137,0.000766705840905479,0.43523155641843,0.788896276698099,0.0305568523546539,0.518743221191996,7.00220876518147e-05,0.00421388064401572,0.00385308666558138,0.380075593997623,0.0992799045658472,0.00593981253842854,0.0160724261463889,0.959451781224681,0.97024528758119,0.480031639439955,0.808856989372279
"TNFRSF14",0.0834751145347718,0.099238800924639,-0.170946316552181,0.181313974916646,0.179898678959507,0.153826505489846,0.412165725812713,0.228784257627648,0.101708922105124,0.203528418484348,0.324290732821529,0.270279846941476,0.518641699207706,0.795903260355504,0.129943670101044,0.0207512549085777,0.22530888936357,0.00669120539352783,0.0840401368504889,0.292862357827656,0.11403044605106,0.110478020010114,0.367736522521335,0.582442860618178,0.848363927233927,0.483027266125135,0.0575745601875245,0.298653000889416,0.0473402781592094,0.936246853326614,0.798335783654638,0.56138943621495,0.44986013903399
"DDX43",-0.148165972160937,-0.291900707941992,-0.104721781217384,-0.156116758249324,-0.139265800137294,-0.512339599606636,-0.0070753413612928,-0.206935916132488,-0.245869283175424,0.182396448339322,0.0327145040968853,0.668135141688097,0.3716162044649,0.724172705645637,0.41084264100493,0.746055830235321,0.309890665286152,0.986776953607694,0.480954300712552,0.502856569841047,0.487862655255131,0.945672896998941,0.739491203459275,0.437286427707138,0.788234137298905,0.694227879479403,0.815188416820834,0.382130972880092,0.992035090127806,0.961712447162925,0.875888718302876,0.833116287096921,0.983438978737749
"IL7R",-1.01364613926331,-1.48294838479174,-0.918455123812809,-0.38874221916547,-1.17738897487874,-1.53923465257716,-0.517732260069864,-0.0606467709857949,-0.0302865997282536,-0.119021965186454,-0.153211530900224,2.68133131449148e-05,0.000168805387920803,0.00183867588437224,0.00413135012821403,0.00385387171249795,0.00185805777818919,0.00718037708885567,0.675796271435713,0.82210416198646,0.53226456118824,0.439748473986437,0.000459888946667327,0.0010273532211094,0.0128480314883295,0.230604953050371,0.0222580754007535,0.00705812551983275,0.0480102341026396,0.96683766228736,0.97024528758119,0.846307064711294,0.770375515725523
"IL1A",1.12210744072112,0.811966235063007,1.45863731116914,0.232730289127856,1.19839053440422,1.06466736061672,1.66293138941123,0.950777905162937,0.167927466036789,0.336896026988165,0.462770939748055,0.0317750753810652,0.146089243261122,0.00558211097633606,0.623951081549028,0.00108980538775658,0.127937147268524,0.015076371471306,0.130738724385489,0.741262693421456,0.420567928403187,0.284791975998571,0.0666099728358626,0.194556498084223,0.0254213108434035,0.870810097362547,0.0110813841244107,0.186629962252538,0.0717077836366317,0.936246853326614,0.968736319081343,0.828834241931346,0.66772720735722
"IKBKE",-0.248439604884157,-0.749837866262168,-0.249029878693526,-0.300656597554531,-0.464964031325995,-0.444951163716462,-0.0117372525125009,0.0504265052560418,-0.227088563974576,-0.182609655149312,-0.144767944769205,0.226226598600101,0.00454811351307769,0.30327162693737,0.176730478480962,0.0305251969918371,0.0715979252783806,0.957148482273706,0.837407056217989,0.340611540270501,0.599543888650987,0.655926060885024,0.318518046785216,0.0107708462276233,0.411634870135615,0.518287309949349,0.0738344508435033,0.115784073450181,0.980667631689373,0.994567917304908,0.81858849729906,0.863459114329628,0.865394290118703
"ETS1",-0.685016522428282,-1.05047976329312,-0.582099938809324,-0.176302034332319,-0.981093251751425,-1.1273381336221,-0.323177453517899,-0.00180701782766892,0.0600273866232084,-0.0915831373776989,-0.133395341996471,0.00578795247573559,0.00552379781851492,0.0248140374212648,0.373723603001797,0.0185893868007911,0.017941404161546,0.322322304340415,0.994399672354691,0.722662248735341,0.748934313473217,0.668345452611377,0.0184043882093615,0.012556102671805,0.0656296503758685,0.682879687031327,0.0545160255401437,0.0381760705091543,0.517156011228377,0.999023509729966,0.962185300102453,0.892414360896507,0.86975625303451
"INPP5D",-0.0517589990977598,-0.181393624244493,-0.181578467200336,0.0957229521111046,-0.256144391203911,-0.323159870323938,0.103264152536785,-0.101471417509677,0.107062077053246,-0.114281100887035,0.131532401207959,0.839487308285119,0.375211492808661,0.466964095220367,0.684790524823869,0.431546254396444,0.290322709989775,0.701608399763873,0.716106786082107,0.549529005692533,0.667254190286714,0.625447615613832,0.868646830876376,0.440601047571996,0.57834065184842,0.896950706415988,0.543292008651001,0.363403691351434,0.8273132380549,0.971150144921145,0.889968934452836,0.875770256748064,0.845959482253223
"CD53",0.515116641883153,0.732557794605744,0.0505562953635882,0.34542728686289,0.196819211326636,0.552758118783832,0.667637214728099,0.130040805732198,0.248747956092117,0.101712044292881,0.144677127316681,0.0195418123005923,0.0149516901991817,0.954226946282096,0.223726941295628,0.44537297234159,0.0818307704874881,0.0103497275979983,0.678685921834758,0.129754257763434,0.727646879762421,0.585851905272603,0.0466694757896003,0.0285062188841894,0.963456779373565,0.553073897031076,0.5564704246034,0.128656155821995,0.058422594101848,0.967597561104466,0.713018542661202,0.889520807657733,0.842822457326775
"CD9",1.07871347559442,1.19735219203798,1.14445974104138,0.702704988111405,0.975082675344798,1.03194266739257,0.829231782769034,-0.0725374608890322,-0.319501419585596,-0.575138830904627,-0.377192839608556,1.46450341097621e-05,0.000647500687922489,0.00100816378403878,0.0146986760143899,0.00221465847682301,0.0438041294326461,0.0279307357903999,0.701294847252745,0.282615916727631,0.0333314080668355,0.222399443806566,0.000350863017798899,0.00263658553499373,0.00957707495016782,0.365185380005549,0.0164933776037082,0.0777214334134097,0.102654522450431,0.971150144921145,0.798335783654638,0.480031639439955,0.59777360843758
"TICAM2",1.34052223900999,1.48168877706437,0.669997827564099,0.201662181129209,0.789920710636952,1.15963621761906,0.184938101936929,-0.230470747198033,0.0290871197090262,0.138457434345661,-0.16780285713457,0.000404296270478336,0.00416512130894549,0.0639715460174955,0.490104836852305,0.0091728022187935,0.0173975878422523,0.519982047926492,0.542312743102799,0.909110870656969,0.637925764151429,0.617592882908893,0.00275700830229805,0.0101178483298847,0.13284205271256,0.759998185365492,0.0361155135812447,0.0374411966491057,0.694126979071686,0.961712447162925,0.983499591544167,0.867861112464012,0.845959482253223
"FCER1A",1.63971108859164,1.59850665634852,0.606082487347436,-0.315619807260159,1.20932800339246,1.59858732756317,-0.340418591955998,-0.257500825396153,-0.164080532787103,0.17623341149972,0.19159813696259,0.000799753925036141,4.65344904071008e-05,0.143816833446497,0.309582435322858,0.000121523592541846,0.00120606630137973,0.209966927432588,0.579669817143816,0.257767723699742,0.635109767326113,0.663757325606485,0.00427038416575902,0.000439116293537265,0.24082937198437,0.632576384089305,0.00398721838791171,0.00538714591909257,0.377273907704269,0.961712447162925,0.787900233531259,0.867861112464012,0.86975625303451
"PIN1",0.055932194564172,0.0577662380093075,0.0551429225786646,0.0105022839592954,-0.160928689294847,-0.0170927736001265,0.0550430781296572,0.119806179362786,0.0794885347755752,0.175982863316439,0.334061668346117,0.753114576096051,0.685133442920775,0.607385611023524,0.898418194676544,0.171197493331987,0.921298678352874,0.762646065939,0.36765427943133,0.477382290826692,0.239749108502013,0.00860940979044683,0.807316003921145,0.729649199923469,0.69874035739698,0.968580377498902,0.27449796381276,0.936185012473477,0.86291113931152,0.959451781224681,0.866020437845857,0.637836485990126,0.217851697711755
"C4B",0.0142017342651711,-0.797430451833042,-0.0385751275900666,-0.239999228071699,0.0959042964587159,0.0993144556868534,0.386521275998563,0.114205031662186,-0.158917338288415,-0.0425425463067697,-0.736159905406049,0.975744675360966,0.0111607885725273,0.899960339467079,0.444680216131634,0.768037339095386,0.807342156746637,0.320483909459826,0.779730062053185,0.718175183040653,0.903723910995503,0.0724421435604224,0.980944025318484,0.0223215771450545,0.927827963822161,0.727424862226893,0.826953189370839,0.846214186515919,0.517156011228377,0.986546483441693,0.962185300102453,0.962000353032971,0.410022532551991
"TNFRSF18",-0.670163779724074,0.0449284895747843,0.448863639951271,0.0781185166568591,0.470761264303442,1.01110327240859,0.793689469502316,0.612240878608872,0.0399596173245113,-0.176171220356662,-0.445499511961723,0.153023188551215,0.847164449087549,0.0131369044684544,0.782348033922902,0.11739675024473,0.0219154022485084,0.0366690431269872,0.0466913245157941,0.889829542776192,0.513976407553587,0.106227684451398,0.232825604085989,0.870681411421917,0.0429796990124,0.920673612474901,0.204725974929938,0.0444592031277984,0.122844237759835,0.936246853326614,0.977729585019684,0.837523997656438,0.44986013903399
"KIR3DL1",-0.80070478559194,-0.931570136308613,-0.210432684744415,-0.163995487045216,-0.493681600111311,-0.937146849442462,-0.244119075980585,-0.377633591782449,0.0814632059237386,-0.246900842361596,-0.237848420681267,0.0420147496241676,0.0157778164696083,0.432502806402364,0.539942728278682,0.098413036708148,0.00550963015116033,0.557519733434328,0.41154765485553,0.790656260258981,0.40418082779052,0.300030999627881,0.0828583564016686,0.0298861936851195,0.542786227103632,0.804230484751932,0.184442976082158,0.0153510300520347,0.723619233506854,0.959451781224681,0.97024528758119,0.815509691155198,0.670990888614263
"ITGB1",0.330584258757837,0.228094719817843,0.729951020389211,0.167463013517752,0.350636362854879,0.426037720098446,0.519847574739511,-0.178364924383259,-0.149820742603427,-0.194671055665308,-0.175205296210193,0.0266623974496045,0.0639572987592216,0.000773103641195282,0.127793754427346,0.00116063666739046,0.00557290998781343,0.000858094678077471,0.152899806484719,0.149534523775148,0.192165650964362,0.10832862226673,0.0587195212314247,0.0962761465364878,0.00779125840280776,0.483027266125135,0.0110813841244107,0.0153510300520347,0.0168347984337241,0.936246853326614,0.716267006723894,0.596581934172022,0.44986013903399
"CTSG",1.26344136647133,2.03353237888613,1.73571832212026,0.763987761344538,0.958544171880218,1.68235056847511,1.56081179895143,-0.778722496854623,0.111520233390293,0.146986317141635,0.367702859427732,0.00473492971115351,9.61369662151916e-07,0.000370749763068515,0.133448762017066,0.0808205438155357,0.00063963865186463,0.00011926785521068,0.0619745287205755,0.783106758309084,0.601253880749144,0.352504914839037,0.0155812221890284,4.70893976088612e-05,0.00517894210838892,0.483027266125135,0.157197346390355,0.00349731819050806,0.0100586420952726,0.936246853326614,0.97024528758119,0.863459114329628,0.710027693234502
