"","C1D08 log2fc","C1D15 log2fc","C1D22 log2fc","C2D01 log2fc","C2D08 log2fc","C2D15 log2fc","C3D01 log2fc","C4D01 log2fc","FUW04 log2fc","FUW12 log2fc","C1D08 p.value","C1D15 p.value","C1D22 p.value","C2D01 p.value","C2D08 p.value","C2D15 p.value","C3D01 p.value","C4D01 p.value","FUW04 p.value","FUW12 p.value","C1D08 BH.FDR","C1D15 BH.FDR","C1D22 BH.FDR","C2D01 BH.FDR","C2D08 BH.FDR","C2D15 BH.FDR","C3D01 BH.FDR","C4D01 BH.FDR","FUW04 BH.FDR","FUW12 BH.FDR"
"CD1D",-0.81234453654589,-0.471511869217623,0.284933405569236,-0.165521428223203,-0.52043012674363,0.121963365561545,0.0376645610384079,0.240273439248862,-0.685181111961626,0.0166034056017844,0.0356154360701742,0.0156022797943229,0.108472190679176,0.514933706007672,0.037725377619755,0.543678630894329,0.819473047981055,0.386566918171972,0.145663978959283,0.937838742915123,0.829332058865982,0.373245874658575,0.829665674654241,0.985597039484581,0.842910902636484,0.895764777862619,0.999874676446854,0.999422392379728,0.855921200397625,0.971248832652611
"TFRC",-0.174233864622944,0.0667184394520658,0.00848065222823498,0.00835805701865944,-0.1315541959419,-0.0824327068262119,-0.13673495117545,-0.0591471642037399,0.0703434818867007,0.213379850551443,0.201375862501468,0.644028146754368,0.924959667966644,0.955036618412754,0.361535285203679,0.540605189583321,0.289245058450325,0.689305730336512,0.492447399202757,0.167587769690862,0.829332058865982,0.900055186337753,0.976668746343485,0.997247550709708,0.948722476362504,0.895764777862619,0.976462085782201,0.999422392379728,0.925504671078065,0.610436751015662
"FPR2",-0.447062440374197,0.565729209378904,0.190697843738655,0.125669513312261,0.435061447874477,0.617119459460273,0.252696420769207,0.507545990968414,0.672855996350112,0.940968210197989,0.463156495679697,0.256560475992759,0.494312256400752,0.816088002505152,0.287637882808938,0.179944616170442,0.667836155768602,0.400836276885019,0.146043913143404,0.197989007871194,0.852903534774806,0.681006310565548,0.899616518079824,0.985597039484581,0.933345290290352,0.773568032233672,0.976462085782201,0.999422392379728,0.855921200397625,0.648584024125592
"CD24",0.196114543201584,0.30981808123776,-0.1837975360465,0.193455293280336,0.359443321361286,0.61342570399495,0.0191172330705025,0.0754228122184374,0.206936693859993,0.0445277843863316,0.613153050539456,0.379586061303746,0.604999741785105,0.550531804800898,0.111843250079532,0.0159762136107672,0.92278961773578,0.736945816441432,0.585205655661208,0.866371674629781,0.892145569679517,0.731819951982111,0.923090332345339,0.985597039484581,0.872198138865918,0.663003192584927,0.999874676446854,0.999422392379728,0.942558784489295,0.963391685344707
"TNFRSF14",-0.152452152068414,0.100667657440144,0.0740373688274512,-0.133570544102796,-0.251306177841847,-0.0478783525991909,-0.142796467805523,0.0278541472500435,0.156733832925023,0.13337090600816,0.397600199601128,0.396105334191211,0.443849263429368,0.255241388647359,0.103786925177359,0.528954354650635,0.207156294840494,0.802304947861826,0.244930384084944,0.153606228876566,0.851663772031153,0.752334292457132,0.855815409175294,0.985597039484581,0.871115186263522,0.893696014126147,0.976462085782201,0.999422392379728,0.86556571027551,0.587440037460382
"DDX43",-0.137306167612034,0.35059288709513,-0.456127912669648,-0.278793692741652,0.229941913555723,-0.304106371028288,-0.0278959195746625,-0.304419621232073,-0.225362231936501,-0.195329882867488,0.66894454804093,0.124990291397804,0.125609714395061,0.375775324057979,0.494218279500963,0.226355335447808,0.931194077542417,0.483596621301927,0.388010757768516,0.533213986512273,0.917655151277008,0.540034388787457,0.835609065321038,0.985597039484581,0.964187665358425,0.777885773517823,0.999874676446854,0.999422392379728,0.925504671078065,0.799461769098908
"IL7R",0.0603825187660973,-0.212867537064191,-0.171898353934096,-0.0728709386209623,0.188312755766201,-0.162165418043909,-0.12465156393697,-0.151004174933275,-0.25143936480786,-0.219951268576296,0.815984556593569,0.364684872619795,0.300739374732036,0.609841489936689,0.189015214225679,0.193639926422982,0.481846844354895,0.187222963646103,0.127577859133397,0.343451518419687,0.961707980451657,0.725344310422442,0.835609065321038,0.985597039484581,0.880215769603307,0.773568032233672,0.976462085782201,0.999422392379728,0.855921200397625,0.745767723213469
"IL1A",-0.821255963212251,0.465356762476946,-0.319646036345255,0.277785307549517,0.107400547924699,0.103984565572304,-0.696391938897755,-0.685070016478006,-0.167358408696262,0.0748140052691137,0.227929009629893,0.46906168010962,0.655580670188357,0.684274093387571,0.903869076416561,0.886599070348399,0.294269019171647,0.372951554742744,0.744206090465286,0.917209450300764,0.829332058865982,0.797263996822958,0.934245497020417,0.985597039484581,0.980338618042941,0.982413103954417,0.976462085782201,0.999422392379728,0.951009965507351,0.971248832652611
"IKBKE",0.0516329053315788,-0.398123927292583,-0.414543526643044,-0.346530028452841,-0.155396887447112,-0.131116035443989,-0.369298941601565,-0.0806128364579388,-0.280279185001828,0.124766402991457,0.781649274425493,0.0391188033637619,0.069382804171855,0.232417162777032,0.3853559322893,0.469605145111832,0.108428135248245,0.691527428065172,0.38627523282513,0.503456889281073,0.949179254211048,0.425793128920947,0.827091246397003,0.985597039484581,0.948722476362504,0.851911897863131,0.97228035876662,0.999422392379728,0.925504671078065,0.791108145691804
"ETS1",0.123605578242327,0.0819114221092135,0.021039674421313,-0.0103588936396884,0.262711092169117,0.0305121305155866,-0.0814576278610965,-0.106406690347354,-0.240549347234954,-0.202849694243189,0.555708731271128,0.687322661846775,0.897180439547661,0.956390211855827,0.105221910593087,0.857955677602777,0.719251662015696,0.517225411129537,0.331580475377112,0.463666815923947,0.873165785723496,0.907722617796247,0.97388979999502,0.997247550709708,0.871115186263522,0.981015986915499,0.976462085782201,0.999422392379728,0.91223034798254,0.776436147375604
"INPP5D",-0.114390051205753,0.315476949853173,0.15620902774476,0.131462861036831,0.213030318831405,0.124227095681745,0.0274012809195102,0.113092030418148,-0.0406406716857546,0.0438884864040745,0.427280979059365,0.0575340214738484,0.266896542790022,0.442109257687544,0.194153243872165,0.412681082156962,0.883016297296961,0.415354700158738,0.860303544360377,0.727112094385218,0.851663772031153,0.457275604243889,0.835609065321038,0.985597039484581,0.880215769603307,0.840484054648286,0.999874676446854,0.999422392379728,0.954291506392401,0.906487765246769
"CD53",-0.382219941730791,0.387794883886897,0.236692074564522,0.0638998323602069,0.133551770628257,0.172691900902629,0.0171382381395989,-0.000549354904299726,0.0574676084417695,0.324244732124096,0.206614981375765,0.164281069411353,0.151217265439007,0.81369183513501,0.485069389069546,0.416066731133321,0.952959542429449,0.9985412525862,0.840261174091634,0.262911756348782,0.829332058865982,0.573839340980551,0.835609065321038,0.985597039484581,0.964187665358425,0.840484054648286,0.999874676446854,0.999422392379728,0.954291506392401,0.67948883147676
"CD9",-0.279321667475146,0.629983802519333,0.49977044495995,0.16084546156547,0.253176989053479,0.462036483201704,0.457134945418205,0.0136548710323122,-0.202055092012482,-0.14797766923808,0.444081658404647,0.0132987775246024,0.0348840721566785,0.646336070320994,0.537040898440576,0.107688430412155,0.291381171615912,0.970502438761654,0.549898425041575,0.543995273731737,0.851663772031153,0.373245874658575,0.827091246397003,0.985597039484581,0.964187665358425,0.728961031233773,0.976462085782201,0.999422392379728,0.925504671078065,0.803121181776492
"TICAM2",-0.456478007093326,0.771037848285703,0.682891104786806,0.320493715000976,0.662316604589726,0.866876421658276,0.526089668283809,0.580309078211202,0.390714012311822,0.337504933211256,0.358757400768478,0.0196532070005993,0.0732110835512628,0.45004770705345,0.0763279542762768,0.0206677386117087,0.272504944966829,0.148464319176527,0.207918998989192,0.235117901411206,0.851663772031153,0.373245874658575,0.827091246397003,0.985597039484581,0.842910902636484,0.663003192584927,0.976462085782201,0.999422392379728,0.86556571027551,0.664359860652414
"FCER1A",-0.689969763959823,-0.966664190010989,-0.207873690359479,-0.458290743583718,-0.433781038807777,-0.414436271458343,-0.660427800791939,-0.0623881715809561,0.162310417305669,0.710907270518732,0.18597412871665,0.0595029933047583,0.45513670722158,0.0932561303610426,0.243797136073668,0.319837054355959,0.136966527446523,0.90550492285849,0.703124349725714,0.108759685136225,0.829332058865982,0.457275604243889,0.855838459426626,0.985597039484581,0.916808329151813,0.831084532616379,0.97228035876662,0.999422392379728,0.951009965507351,0.526951170070531
"PIN1",0.0056405366366759,-0.139745598979565,-0.0626200081370984,0.0126683626495874,0.110381080200379,0.0551000524623311,-0.0893102435100854,0.0761697054098685,0.1390194471519,0.150839026265447,0.945098810970707,0.241961227299851,0.302294047356039,0.894862047585808,0.368716423504188,0.389281891762712,0.353962501409863,0.3401182160953,0.258901076326701,0.124525468572419,0.997011108060841,0.674630811092196,0.835609065321038,0.997247550709708,0.948722476362504,0.840484054648286,0.976462085782201,0.999422392379728,0.86556571027551,0.559376311206264
"C4B",0.180644073160797,-0.569558276212504,-0.119927993830624,0.0423598887378877,-0.358449532393077,0.00318019812036024,0.0227561762928535,-0.494051077764254,-0.135512887216023,0.0816361252179611,0.740212503850033,0.118793712491543,0.695144276979224,0.917192946641885,0.326395287983553,0.989908789883012,0.948379869509405,0.283896807792652,0.712656963949692,0.806319982694422,0.938825725477138,0.540034388787457,0.944505771782568,0.997247550709708,0.936677785878165,0.994983357745787,0.999874676446854,0.999422392379728,0.951009965507351,0.939247624853164
"TNFRSF18",0.117236249281716,-0.174633010364824,-0.18817642862997,-0.066266031781812,-0.00449799335502873,-0.0540718691098842,-0.0823514483879639,-0.138297920645723,-0.354635639753862,-0.210109273948041,0.783917421482185,0.52429278274548,0.584779949494697,0.852730372038885,0.985188379809063,0.875328996652942,0.825108278271645,0.561545513987566,0.341169748256381,0.619079187985461,0.949179254211048,0.822685268612783,0.923090332345339,0.995145135204143,0.995321216373518,0.982413103954417,0.999874676446854,0.999422392379728,0.91223034798254,0.846373962318288
"KIR3DL1",0.410803632305564,0.278542566947406,0.0192857699146124,0.117560278436929,0.252814831120105,0.299224885390089,-0.344600389232121,-0.23948100361122,0.0756806357837329,0.044544192071739,0.104267358047137,0.401686385779655,0.946309319000409,0.533748415071721,0.186163982404494,0.234761921559367,0.200996473223658,0.360537762923988,0.719235278791894,0.879903348862457,0.829332058865982,0.755330546017557,0.976668746343485,0.985597039484581,0.880215769603307,0.780638141015558,0.976462085782201,0.999422392379728,0.951009965507351,0.963409817419677
"ITGB1",-0.183400101904529,0.225240584545399,0.0997229324525757,0.0553667279753854,0.0273714773827602,0.0840278881813155,-0.0396056628994457,-0.121351608940523,-0.0585308194376412,-0.0414478669088549,0.359116167235149,0.184529669230996,0.376509622454433,0.674556265402064,0.829256703988849,0.221552188215617,0.787314467645899,0.123063765495759,0.711748657258263,0.7430565371853,0.851663772031153,0.603721345576554,0.850641391643154,0.985597039484581,0.980338618042941,0.774065052654563,0.996307044832474,0.999422392379728,0.951009965507351,0.91987076339606
"CTSG",-0.206168588583042,-0.658143970015358,-0.180714307500657,0.421095411376309,0.577927288303934,0.27286932654156,-0.343529556670794,-0.0616969617482071,0.290207373796241,0.391236086739765,0.668608350387055,0.124285145462051,0.703071466648405,0.455792577941686,0.0924257058169464,0.462538721010787,0.463264495770593,0.898713599461082,0.58861300994442,0.478753742741947,0.917655151277008,0.540034388787457,0.944505771782568,0.985597039484581,0.871115186263522,0.851292660358782,0.976462085782201,0.999422392379728,0.942558784489295,0.781279044512883
"LTB",0.220235461318142,-0.70617665198517,-0.355035830209909,-0.158845287848445,-0.144070838947009,-0.397062926243656,-0.156758573292644,0.0304715833776524,-0.0433705981143959,0.0775066117013032,0.465704853338343,0.00584384327008342,0.0926252036308981,0.515697677121024,0.477518676873608,0.0427195114801141,0.558125038736476,0.899924680735739,0.868028929502851,0.634155240357498,0.853038663396446,0.373245874658575,0.827091246397003,0.985597039484581,0.964187665358425,0.663003192584927,0.976462085782201,0.999422392379728,0.954291506392401,0.856655065974554
"SPP1",0.83334511462648,0.594167965753869,0.564407123338483,0.285325439572307,0.931571682289331,0.287035052731618,0.308550527813196,-0.688043762045957,-0.143403945111434,-1.13184487387087,0.171511263570131,0.243774536641912,0.394009791256912,0.702198969829643,0.194781503205979,0.574104650208417,0.667800146221765,0.292314359435595,0.786857478190805,0.193884625611259,0.829332058865982,0.676354841859422,0.850641391643154,0.985597039484581,0.880215769603307,0.895764777862619,0.976462085782201,0.999422392379728,0.953715103603339,0.648584024125592
"LGALS3",-0.443354173470679,0.336111215874266,0.259563433036735,0.0427911212492553,-0.110953441530974,0.279767744440266,0.0744965455407072,-0.0840669974176687,-0.377402325712101,0.13084955946942,0.296147650029368,0.258318724259764,0.248297528239295,0.876755581208828,0.679707914477986,0.209491736299858,0.848508494407231,0.79564956412129,0.25945082384384,0.752672986332589,0.832069265817655,0.681006310565548,0.835609065321038,0.997247550709708,0.969944070614028,0.773568032233672,0.999874676446854,0.999422392379728,0.86556571027551,0.922105866372826
"GZMB",-0.277987101053773,0.147905918808734,-0.127864231312307,-0.120465842053051,0.2496007594803,-0.149094083935181,-0.410293976303779,-0.121546533179474,0.151386182725757,-0.0833115894634525,0.476696126832848,0.291623369880899,0.320366019743225,0.435781787423084,0.178140069146755,0.428217814364395,0.0640035230143356,0.553104098329856,0.558227770427336,0.597556918689745,0.853667135406807,0.681508978137964,0.835609065321038,0.985597039484581,0.878898182086205,0.840484054648286,0.97228035876662,0.999422392379728,0.925504671078065,0.837932783380164
"CARD11",0.263990220745451,-0.387881387607482,-0.270149126447305,-0.218172250357596,0.0387342023624118,-0.223843437220477,-0.287288583894401,-0.140991524304847,0.216527627688081,-0.0540123936411885,0.251030445337765,0.0426638336507846,0.129551382745957,0.150048306652121,0.833499532671571,0.181768175516049,0.136900123887427,0.37927149370555,0.313672427164053,0.682422261444754,0.829332058865982,0.437555476687804,0.835609065321038,0.985597039484581,0.980338618042941,0.773568032233672,0.97228035876662,0.999422392379728,0.91223034798254,0.880891861452523
"ATM",0.0725416253649359,-0.567723213127324,-0.315397243523432,-0.180789180359957,-0.0740315836894321,-0.311583451921044,-0.300232400140058,-0.116082785112451,-0.239168184724337,0.116620032410903,0.798152864959702,0.130307563806925,0.0803672424461784,0.441367138698527,0.698958056398547,0.32255770189301,0.0936338345124773,0.682437694438987,0.484201433264616,0.534848534496547,0.961179833121684,0.543101140213548,0.827091246397003,0.985597039484581,0.972361442827061,0.831084532616379,0.97228035876662,0.999422392379728,0.925504671078065,0.799461769098908
"ELK1",-0.108303711863004,0.0570958166714252,0.0728433985945806,0.110712152532896,0.153742141281504,0.117891172326159,0.109976144179169,-0.087851692751805,-0.143704475186713,-0.0234523194553454,0.625301655358284,0.71560955547834,0.637409411755791,0.486058699608328,0.345619227869194,0.443921448325072,0.496235026783355,0.778259464318052,0.585392440481946,0.922692079664168,0.894068915952679,0.920534110001683,0.923090332345339,0.985597039484581,0.947178330951197,0.842005457986079,0.976462085782201,0.999422392379728,0.942558784489295,0.971248832652611
"RORA",0.147033885450124,-0.138739499565094,-0.0911496684920143,0.0766312583701505,0.141138208291379,-0.13113271985996,-0.0661660484364587,-0.129418754527712,-0.103934043987395,-0.293254051080063,0.406574412726094,0.22820025160002,0.231072270927419,0.414923531269705,0.163625735275624,0.0337864875248215,0.418516742498934,0.0912134324773621,0.167717725448348,0.00276490984794923,0.851663772031153,0.655587764956678,0.835609065321038,0.985597039484581,0.872198138865918,0.663003192584927,0.976462085782201,0.999422392379728,0.855921200397625,0.367711989104922
"IRAK4",-0.102800313096366,0.00676223985462052,-0.074180029740252,-0.0131580039813417,0.0940700059891516,-0.0948376958547035,-0.0346589751979982,-0.00515461210169263,0.0527170747750692,0.0780622420329759,0.604862326759678,0.960403523704382,0.53635056956501,0.902817209666934,0.415726965648865,0.375663779743448,0.756853438707146,0.96847740777837,0.736952845046928,0.647098852034995,0.888334150425461,0.983081580534036,0.923090332345339,0.997247550709708,0.964187665358425,0.840484054648286,0.991618162750567,0.999422392379728,0.951009965507351,0.857746956093226
"CXCL16",-0.709869114733411,0.313100027309447,0.423084347313707,0.166950376476295,-0.0645203894509016,0.393041126110122,0.27088349416567,-0.0705846760915413,-0.227192612441748,-0.208408457132431,0.18738486471659,0.179897701503502,0.0646818183730142,0.600173219079842,0.84569624993662,0.12557194752529,0.494958391445615,0.850393810571862,0.453810601012225,0.544873734632814,0.829332058865982,0.591988947970826,0.827091246397003,0.985597039484581,0.980338618042941,0.731227671896052,0.976462085782201,0.999422392379728,0.925504671078065,0.803121181776492
"SPN",-0.0997972391168762,-0.662072616510032,-0.558076038608482,-0.348915000806839,-0.153033302166062,-0.364627940758872,-0.292999527624561,-0.185365130770229,0.188971003709806,-0.109302162043889,0.723290037098098,0.0399586436668649,0.139052962921132,0.296329707726724,0.598611754883533,0.0822701388830494,0.285606257757282,0.592275897380509,0.642872364822721,0.718686180440705,0.938825725477138,0.426728156895199,0.835609065321038,0.985597039484581,0.964187665358425,0.728961031233773,0.976462085782201,0.999422392379728,0.951009965507351,0.903246959718295
"CXCR4",-0.0718057117798802,0.176412802925941,-0.134544834789986,0.00875228449490464,0.0744782567966704,0.0651613122387996,-0.196121782666974,-0.110163041964666,0.0154566793305311,-0.215222090452759,0.57542546690259,0.133011632279378,0.220483734271623,0.938840504862113,0.404452524538692,0.571029282907526,0.0647935974889787,0.304125227342703,0.833412802476319,0.204398407547653,0.885845518260847,0.543562453878252,0.835609065321038,0.997247550709708,0.964187665358425,0.895764777862619,0.97228035876662,0.999422392379728,0.954291506392401,0.648584024125592
"PRF1",-0.181019375517399,0.0255057108434,-0.155729751480762,-0.135198167448266,0.242822470397655,-0.115786668186923,-0.319385105232833,-0.122829790017053,0.0693334733082163,-0.189936390064154,0.406844109775685,0.832956158038344,0.208451056354476,0.266326541443259,0.0670755977868638,0.313336007334684,0.0725680199088829,0.264957087217293,0.768585530019763,0.0999887293417532,0.851663772031153,0.958119260800199,0.835609065321038,0.985597039484581,0.842910902636484,0.831084532616379,0.97228035876662,0.999422392379728,0.952302122853478,0.512177538895592
"JAK1",0.00231958294712875,-0.0724948116461811,-0.0567580890944315,0.0139165770293126,-0.0227630111280384,-0.0789093238789126,-0.0848728524464104,-0.0295668225131736,0.00688502059192379,-0.0212071544924122,0.970938828854965,0.347586916956991,0.297848847792888,0.820657086202303,0.759367263920231,0.252444874581375,0.232291551601752,0.54273670203642,0.923826057111942,0.748040316785047,0.997011108060841,0.719822489037149,0.835609065321038,0.985597039484581,0.979047543004216,0.780638141015558,0.976462085782201,0.999422392379728,0.963928295042681,0.921528348788076
"DDX58",0.183879979718044,0.11803659817755,-0.532200031949414,0.0949530270489992,0.190751485759098,0.270108889128665,-0.266796602142867,-0.298148198032951,0.609479108679262,0.338486862761048,0.428490912111415,0.720140095763309,0.0935575384161473,0.644942008423866,0.523069238080074,0.334914412393576,0.466885947761039,0.520952236013089,0.10558446925803,0.428346643384126,0.851663772031153,0.922170348873378,0.827091246397003,0.985597039484581,0.964187665358425,0.840484054648286,0.976462085782201,0.999422392379728,0.855921200397625,0.770048525327359
"C1QA",-0.0305449833628373,0.150670617665677,0.471035410537921,0.615551994215873,0.100408490290845,0.565641651434388,-0.400173966717756,0.149598952426922,0.647935320988119,0.421297457781291,0.944469224701064,0.634557869244581,0.218253017105469,0.0712258130908556,0.851064812439211,0.120060713361757,0.403625991410609,0.594044259754092,0.0354968564130862,0.353644851098991,0.997011108060841,0.895347183190464,0.835609065321038,0.985597039484581,0.980338618042941,0.731227671896052,0.976462085782201,0.999422392379728,0.855921200397625,0.756627577771079
"TNFSF10",0.0309458397033331,-0.148462890216247,0.0613696684883134,0.12769281788183,-0.0729338844901573,0.0505758792015676,0.116787875224164,-0.053808468456443,0.457908293127337,0.613005898702001,0.89732511921302,0.478884850179249,0.792757855351733,0.543955996909395,0.660526718595366,0.816831030859239,0.531704856317283,0.78869935302251,0.299619406846323,0.176918462595991,0.995863139971032,0.806692932147188,0.949852532327971,0.985597039484581,0.969910531343762,0.976450618735228,0.976462085782201,0.999422392379728,0.90686943462577,0.634708791872942
"TLR6",-0.181921594940474,0.373096518056965,0.278636611872337,-0.0137557944109947,0.27679212256723,0.59795666819648,0.012676998827543,0.310032169450939,0.277776203323779,0.20137448540507,0.387039650828684,0.206798094204995,0.179554154420261,0.960773898061527,0.211770870444795,0.00493355648977966,0.946348627022877,0.0582279675667903,0.19699015326343,0.322883898201401,0.851663772031153,0.633423946538288,0.835609065321038,0.997247550709708,0.892386340168133,0.435129141580915,0.999874676446854,0.999422392379728,0.859315983569939,0.732333120225282
"CLEC5A",-0.223584825794969,0.896652499601222,0.404559559700079,0.435576133699087,0.769855187396291,0.679221322063107,0.2677641800501,0.361489160920082,-0.707404712901189,0.0762753497021825,0.683265095393141,0.117227367956468,0.3349743054816,0.296342783592709,0.184444315775311,0.183235012782213,0.664148440439748,0.508370088161936,0.261796434699024,0.89242845908967,0.925186708116072,0.540034388787457,0.850641391643154,0.985597039484581,0.880215769603307,0.773568032233672,0.976462085782201,0.999422392379728,0.86556571027551,0.967070544488417
"S100B",0.0540287956689334,-0.0915051558669122,0.0190213770195204,0.0943627066310681,0.311233567382765,0.0559655017163075,-0.158445219911999,-0.491874741561331,0.23440718019496,0.200825172018023,0.915112845804543,0.833037536836124,0.946559192783289,0.805189200508967,0.447709022596438,0.909881870587756,0.626012807510281,0.323045357824251,0.591932309933688,0.642203846737252,0.995863139971032,0.958119260800199,0.976668746343485,0.985597039484581,0.964187665358425,0.982413103954417,0.976462085782201,0.999422392379728,0.943756865978781,0.856655065974554
